"root","x","Barrier","Kr","Kx","kAQP","perimeter","Kr2","radius","conductance"
"root1",19,"M2",4.40320393009404e-05,0.488690001814538,9e-04,0.157281054760234,5.09630084501625e-08,0.250320573197983,8.01551572279628e-09
"root1",19,"M3",4.30500185719453e-05,0.488690001814538,9e-04,0.157281054760234,4.9826410384196e-08,0.250320573197983,7.83675038014262e-09
"root1",19,"M1",0.000107443510333506,0.488690001814538,0.001,0.157281054760234,1.24355914737854e-07,0.250320573197983,1.95588294356434e-08
"root1",19,"M2",4.44956549135576e-05,0.488690001814538,0.001,0.157281054760234,5.14996005943954e-08,0.250320573197983,8.09991150121728e-09
"root1",19,"M3",4.35956217033829e-05,0.488690001814538,0.001,0.157281054760234,5.04578954900265e-08,0.250320573197983,7.93607102365302e-09
"root1",21,"M1",4.90773905783875e-05,0.529888807148441,1e-04,0.170916110370515,5.68025353916522e-08,0.272021438195074,9.70846840832471e-09
"root1",21,"M2",3.53252391103827e-05,0.529888807148441,1e-04,0.170916110370515,4.08856934147948e-08,0.272021438195074,6.9880236882581e-09
"root1",21,"M3",3.23269963709142e-05,0.529888807148441,1e-04,0.170916110370515,3.74155050589285e-08,0.272021438195074,6.39491259222038e-09
"root1",21,"M1",5.81148655647924e-05,0.529888807148441,2e-04,0.170916110370515,6.72625758851764e-08,0.272021438195074,1.14962578437959e-08
"root1",21,"M2",3.82256854780507e-05,0.529888807148441,2e-04,0.170916110370515,4.42426915255216e-08,0.272021438195074,7.5617887478647e-09
"root1",21,"M3",3.59191943455377e-05,0.529888807148441,2e-04,0.170916110370515,4.15731416036316e-08,0.272021438195074,7.10551965877535e-09
"root1",21,"M1",6.48251271887141e-05,0.529888807148441,3e-04,0.170916110370515,7.5029082394345e-08,0.272021438195074,1.28236789275103e-08
"root1",21,"M2",3.99053475862761e-05,0.529888807148441,3e-04,0.170916110370515,4.61867448915233e-08,0.272021438195074,7.89405878753441e-09
"root1",21,"M3",3.80240120880368e-05,0.529888807148441,3e-04,0.170916110370515,4.40092732500426e-08,0.272021438195074,7.52189380413043e-09
"root1",21,"M1",7.0386403101479e-05,0.529888807148441,4e-04,0.170916110370515,8.14657443304155e-08,0.272021438195074,1.39238081493935e-08
"root1",21,"M2",4.10876922743772e-05,0.529888807148441,4e-04,0.170916110370515,4.75551993916403e-08,0.272021438195074,8.12794970791344e-09
"root1",21,"M3",3.94991383211226e-05,0.529888807148441,4e-04,0.170916110370515,4.57165952790771e-08,0.272021438195074,7.8137026444829e-09
"root1",21,"M1",7.52511644512137e-05,0.529888807148441,5e-04,0.170916110370515,8.70962551518677e-08,0.272021438195074,1.48861531583952e-08
"root1",21,"M2",4.20081015080844e-05,0.529888807148441,5e-04,0.170916110370515,4.86204878565792e-08,0.272021438195074,8.31002466876337e-09
"root1",21,"M3",4.06353797157705e-05,0.529888807148441,5e-04,0.170916110370515,4.70316894858455e-08,0.272021438195074,8.03847343107456e-09
"root1",21,"M1",7.96450285596221e-05,0.529888807148441,6e-04,0.170916110370515,9.21817460180811e-08,0.272021438195074,1.57553454765731e-08
"root1",21,"M2",4.27687402367094e-05,0.529888807148441,6e-04,0.170916110370515,4.95008567554507e-08,0.272021438195074,8.46049389664966e-09
"root1",21,"M3",4.15625021818691e-05,0.529888807148441,6e-04,0.170916110370515,4.81047478956818e-08,0.272021438195074,8.22187640068415e-09
"root1",21,"M1",8.36977060083749e-05,0.529888807148441,7e-04,0.170916110370515,9.68723449171006e-08,0.272021438195074,1.65570443957018e-08
"root1",21,"M2",4.34220079816359e-05,0.529888807148441,7e-04,0.170916110370515,5.0256953682449e-08,0.272021438195074,8.5897230424753e-09
"root1",21,"M3",4.23484363885485e-05,0.529888807148441,7e-04,0.170916110370515,4.90143939682274e-08,0.272021438195074,8.37734956921746e-09
"root1",21,"M1",8.74908714398346e-05,0.529888807148441,8e-04,0.170916110370515,1.01262582684994e-07,0.272021438195074,1.73074067585918e-08
"root1",21,"M2",4.39979769997815e-05,0.529888807148441,8e-04,0.170916110370515,5.09235844904878e-08,0.272021438195074,8.70366098723847e-09
"root1",21,"M3",4.30327591902758e-05,0.529888807148441,8e-04,0.170916110370515,4.98064342480044e-08,0.272021438195074,8.51272201309372e-09
"root1",21,"M1",9.10793484234984e-05,0.529888807148441,9e-04,0.170916110370515,1.05415912527197e-07,0.272021438195074,1.8017277740307e-08
"root1",21,"M2",4.45153811473766e-05,0.529888807148441,9e-04,0.170916110370515,5.15224318835377e-08,0.272021438195074,8.80601365436408e-09
"root1",21,"M3",4.36403885896902e-05,0.529888807148441,9e-04,0.170916110370515,5.05097090158451e-08,0.272021438195074,8.63292300093478e-09
"root1",21,"M1",9.45017429877643e-05,0.529888807148441,0.001,0.170916110370515,1.09377017346949e-07,0.272021438195074,1.86942943688689e-08
"root1",21,"M2",4.49866487354499e-05,0.529888807148441,0.001,0.170916110370515,5.20678804808448e-08,0.272021438195074,8.89923960702285e-09
"root1",21,"M3",4.41879698164524e-05,0.529888807148441,0.001,0.170916110370515,5.11434835838569e-08,0.272021438195074,8.74124528495111e-09
"root1",26,"M1",4.49779661748362e-05,0.84549563937866,1e-04,0.233358274610031,5.20578312208752e-08,0.371401229155824,1.21481256736436e-08
"root1",26,"M2",3.53873958923458e-05,0.84549563937866,1e-04,0.233358274610031,4.09576341346595e-08,0.371401229155824,9.55780283377305e-09
"root1",26,"M3",3.19015291967802e-05,0.84549563937866,1e-04,0.233358274610031,3.69230661999771e-08,0.371401229155824,8.61630302173861e-09
"root1",26,"M1",5.07451066228314e-05,0.84549563937866,2e-04,0.233358274610031,5.87327622949438e-08,0.371401229155824,1.37057760722292e-08
"root1",26,"M2",3.76840633880701e-05,0.84549563937866,2e-04,0.233358274610031,4.36158141065626e-08,0.371401229155824,1.01781111256193e-08
"root1",26,"M3",3.50170590274715e-05,0.84549563937866,2e-04,0.233358274610031,4.05290035040179e-08,0.371401229155824,9.45777832936153e-09
"root1",26,"M1",5.4864714948114e-05,0.84549563937866,3e-04,0.233358274610031,6.35008274862431e-08,0.371401229155824,1.48184435384989e-08
"root1",26,"M2",3.90713507687059e-05,0.84549563937866,3e-04,0.233358274610031,4.52214707971133e-08,0.371401229155824,1.05528044005423e-08
