"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id"
85,86,0,0.3035,0.1125,-11.4707,0.3024,0.1086,-11.572,0.0717,0.101381014001635,0.4314,0.3922,0.1961,7.2011,1,"Tomato_60_8"
86,87,0,0.3024,0.1086,-11.572,0.3009,0.1039,-11.772,0.0717,0.20006084074601,0.4314,0.3922,0.1961,7.3414,1,"Tomato_60_8"
87,88,0,0.3009,0.1039,-11.772,0.3003,0.1028,-11.8057,0.0717,0.0337232857236654,0.4314,0.3922,0.1961,7.3652,1,"Tomato_60_8"
88,89,0,0.3003,0.1028,-11.8057,0.2906,0.0919,-12.0052,0.0717,0.20003287229853,0.4314,0.3922,0.1961,7.5063,1,"Tomato_60_8"
89,90,0,0.2906,0.0919,-12.0052,0.296,0.0894,-12.0789,0.0717,0.0739398404109725,0.4314,0.3922,0.1961,7.5587,1,"Tomato_60_8"
90,91,0,0.296,0.0894,-12.0789,0.3148,0.0785,-12.2777,0.0717,0.199984224377823,0.4314,0.3922,0.1961,7.7007,1,"Tomato_60_8"
91,92,0,0.3148,0.0785,-12.2777,0.3165,0.0764,-12.3016,0.0717,0.0240522348234016,0.4314,0.3922,0.1961,7.7178,1,"Tomato_60_8"
92,93,0,0.3165,0.0764,-12.3016,0.3187,0.0597,-12.5009,0.0717,0.200010549721758,0.4314,0.3922,0.1961,7.8607,1,"Tomato_60_8"
93,94,0,0.3187,0.0597,-12.5009,0.3206,0.0576,-12.5309,0.0717,0.0301333702064682,0.4314,0.3922,0.1961,7.8822,1,"Tomato_60_8"
94,95,0,0.3206,0.0576,-12.5309,0.3196,0.0571,-12.6128,0.0717,0.0819076309021319,0.4314,0.3922,0.1961,7.9409,1,"Tomato_60_8"
95,96,0,0.3196,0.0571,-12.6128,0.2965,0.0269,-12.8092,0.0717,0.20004651958982,0.4314,0.3922,0.1961,8.0848,1,"Tomato_60_8"
96,97,0,0.2965,0.0269,-12.8092,0.293,0.0216,-12.8521,0.0717,0.0433676146450316,0.4314,0.3922,0.1961,8.1161,1,"Tomato_60_8"
97,98,0,0.293,0.0216,-12.8521,0.262,-0.0089,-13.0397,0.0717,0.192574686810079,0.4314,0.3922,0.1961,8.2555,1,"Tomato_60_8"
98,99,0,0.262,-0.0089,-13.0397,0.246,-0.005,-13.1699,0.0717,0.131237380345693,0.4314,0.3922,0.1961,8.3508,1,"Tomato_60_8"
99,100,0,0.246,-0.005,-13.1699,0.2109,-0.0173,-13.3664,0.0717,0.199988874690569,0.4314,0.3922,0.1961,8.4967,1,"Tomato_60_8"
100,101,0,0.2109,-0.0173,-13.3664,0.2019,-0.0207,-13.4527,0.0717,0.086834612914436,0.4314,0.3922,0.1961,8.5603,1,"Tomato_60_8"
101,102,0,0.2019,-0.0207,-13.4527,0.1772,-0.0247,-13.6511,0.0717,0.199971622986862,0.4314,0.3922,0.1961,8.7072,1,"Tomato_60_8"
102,103,0,0.1772,-0.0247,-13.6511,0.1729,-0.0257,-13.7722,0.0717,0.121180443966838,0.4314,0.3922,0.1961,8.7966,1,"Tomato_60_8"
103,104,0,0.1729,-0.0257,-13.7722,0.1722,-0.0205,-13.9648,0.0717,0.192671456111174,0.4314,0.3922,0.1961,8.9393,1,"Tomato_60_8"
104,105,0,0.1722,-0.0205,-13.9648,0.1716,-0.0162,-14.0718,0.0717,0.10708804788584,0.4314,0.3922,0.1961,9.0189,1,"Tomato_60_8"
105,106,0,0.1716,-0.0162,-14.0718,0.1778,-0.0186,-14.2717,0.0717,0.200010524723075,0.4314,0.3922,0.1961,9.1681,1,"Tomato_60_8"
106,107,0,0.1778,-0.0186,-14.2717,0.178,-0.0186,-14.2768,0.0717,0.00510392006207049,0.4314,0.3922,0.1961,9.1719,1,"Tomato_60_8"
107,108,0,0.178,-0.0186,-14.2768,0.1812,-0.0153,-14.4768,0.0717,0.200052818025641,0.4314,0.3922,0.1961,9.3219,1,"Tomato_60_8"
