"root","x","Barrier","Kr","Kx","kAQP","perimeter","kr","radius","Barrier_Name"
"root14",13,"b6",1.05119457105289e-11,1.72009076083743e-10,9.259e-07,0.134497071596496,7.8157431873801e-08,0.214058737759669,"T2"
"root14",13,"b8",5.68174083815103e-12,1.72009076083743e-10,9.259e-07,0.134497071596496,4.22443460716884e-08,0.214058737759669,"T3"
"root14",13,"b9",1.13141741514033e-11,1.72009076083743e-10,9.259e-07,0.134497071596496,8.41220854632946e-08,0.214058737759669,"T1"
"root14",13,"b1",1.53770802933734e-11,1.72009076083743e-10,1.0417e-06,0.134497071596496,1.14330223779936e-07,0.214058737759669,"M1"
"root14",13,"b3",6.79103737633925e-12,1.72009076083743e-10,1.0417e-06,0.134497071596496,5.0492083550436e-08,0.214058737759669,"M2"
"root14",13,"b4",6.61684855064014e-12,1.72009076083743e-10,1.0417e-06,0.134497071596496,4.91969711466382e-08,0.214058737759669,"M3"
"root14",13,"b6",1.08435595481812e-11,1.72009076083743e-10,1.0417e-06,0.134497071596496,8.06230159472385e-08,0.214058737759669,"T2"
"root14",13,"b8",5.73330168961002e-12,1.72009076083743e-10,1.0417e-06,0.134497071596496,4.26277064738664e-08,0.214058737759669,"T3"
"root14",13,"b9",1.17240114557685e-11,1.72009076083743e-10,1.0417e-06,0.134497071596496,8.716926931273e-08,0.214058737759669,"T1"
"root14",13,"b1",1.60058288741754e-11,1.72009076083743e-10,1.1574e-06,0.134497071596496,1.190050362003e-07,0.214058737759669,"M1"
"root14",13,"b3",6.85620195518748e-12,1.72009076083743e-10,1.1574e-06,0.134497071596496,5.09765891093655e-08,0.214058737759669,"M2"
"root14",13,"b4",6.6964600437736e-12,1.72009076083743e-10,1.1574e-06,0.134497071596496,4.97888910463688e-08,0.214058737759669,"M3"
"root14",13,"b6",1.11479135130201e-11,1.72009076083743e-10,1.1574e-06,0.134497071596496,8.28859199735208e-08,0.214058737759669,"T2"
"root14",13,"b8",5.77849023682049e-12,1.72009076083743e-10,1.1574e-06,0.134497071596496,4.29636881177347e-08,0.214058737759669,"T3"
"root14",13,"b9",1.21051949609432e-11,1.72009076083743e-10,1.1574e-06,0.134497071596496,9.00034091244748e-08,0.214058737759669,"T1"
"root14",15,"b1",8.9161661228303e-12,2.47740003903799e-10,1.157e-07,0.1424971240696,6.25708496297467e-08,0.226791216720559,"M1"
"root14",15,"b3",6.2049706065667e-12,2.47740003903799e-10,1.157e-07,0.1424971240696,4.35445321937585e-08,0.226791216720559,"M2"
"root14",15,"b4",5.54700370538119e-12,2.47740003903799e-10,1.157e-07,0.1424971240696,3.89271274181777e-08,0.226791216720559,"M3"
"root14",15,"b6",6.75724313585185e-12,2.47740003903799e-10,1.157e-07,0.1424971240696,4.74202071092425e-08,0.226791216720559,"T2"
"root14",15,"b8",5.08447541848983e-12,2.47740003903799e-10,1.157e-07,0.1424971240696,3.56812493703832e-08,0.226791216720559,"T3"
"root14",15,"b9",6.97913771066592e-12,2.47740003903799e-10,1.157e-07,0.1424971240696,4.89773934473028e-08,0.226791216720559,"T1"
"root14",15,"b1",1.07453099672476e-11,2.47740003903799e-10,2.315e-07,0.1424971240696,7.54072058464791e-08,0.226791216720559,"M1"
"root14",15,"b3",6.7142400696827e-12,2.47740003903799e-10,2.315e-07,0.1424971240696,4.71184251157466e-08,0.226791216720559,"M2"
"root14",15,"b4",6.19285441550125e-12,2.47740003903799e-10,2.315e-07,0.1424971240696,4.34595045755202e-08,0.226791216720559,"M3"
"root14",15,"b6",8.13237201036563e-12,2.47740003903799e-10,2.315e-07,0.1424971240696,5.70704290592807e-08,0.226791216720559,"T2"
"root14",15,"b8",5.59438512828176e-12,2.47740003903799e-10,2.315e-07,0.1424971240696,3.92596353421792e-08,0.226791216720559,"T3"
"root14",15,"b9",8.47107059640802e-12,2.47740003903799e-10,2.315e-07,0.1424971240696,5.94473092121529e-08,0.226791216720559,"T1"
"root14",15,"b1",1.21263066838639e-11,2.47740003903799e-10,3.472e-07,0.1424971240696,8.50986064669001e-08,0.226791216720559,"M1"
"root14",15,"b3",6.99683964105025e-12,2.47740003903799e-10,3.472e-07,0.1424971240696,4.91016200273121e-08,0.226791216720559,"M2"
"root14",15,"b4",6.5645964624549e-12,2.47740003903799e-10,3.472e-07,0.1424971240696,4.60682733445802e-08,0.226791216720559,"M3"
"root14",15,"b6",9.08107066802006e-12,2.47740003903799e-10,3.472e-07,0.1424971240696,6.37280978638179e-08,0.226791216720559,"T2"
"root14",15,"b8",5.86372291104366e-12,2.47740003903799e-10,3.472e-07,0.1424971240696,4.11497631922707e-08,0.226791216720559,"T3"
