"Root","X","Barrier","Kr","Kx","perimeter"
"root1",4,"b5",5.43798839263825e-05,0.0219751415466842,0.130536428757925
"root1",4,"b6",4.63274710328114e-05,0.0219751415466842,0.130536428757925
"root1",4,"b7",9.16897378550658e-05,0.0219751415466842,0.130536428757925
"root1",4,"b8",2.55447273366656e-05,0.0219751415466842,0.130536428757925
"root1",4,"b9",4.82882754648942e-05,4.82882754648942e-05,0.130536428757925
"root1",7,"b0",4.86210772680475e-05,0.0568728945834013,0.130808015042848
"root1",7,"b1",7.02972910813511e-05,0.0568728945834013,0.130808015042848
"root1",7,"b2",3.56905573530133e-05,0.0568728945834013,0.130808015042848
"root1",7,"b3",3.56905573530133e-05,0.0568728945834013,0.130808015042848
"root1",7,"b4",3.41921543574912e-05,0.0568728945834013,0.130808015042848
"root1",7,"b5",6.47099437566402e-05,0.0568728945834013,0.130808015042848
"root1",7,"b6",5.35447427429679e-05,0.0568728945834013,0.130808015042848
"root1",7,"b7",9.67867136999174e-05,0.0568728945834013,0.130808015042848
"root1",7,"b8",3.07994452671476e-05,0.0568728945834013,0.130808015042848
"root1",7,"b9",5.63157983042555e-05,5.63157983042555e-05,0.130808015042848
"root1",8,"b0",0.000177244392737926,0.0335525209159503,0.123247452844223
"root1",8,"b1",9.26058360102882e-05,0.0335525209159503,0.123247452844223
"root1",8,"b2",4.80513028751853e-05,0.0335525209159503,0.123247452844223
"root1",8,"b3",4.80513028751853e-05,0.0335525209159503,0.123247452844223
"root1",8,"b4",4.47638106317145e-05,0.0335525209159503,0.123247452844223
"root1",8,"b5",8.11144364643349e-05,0.0335525209159503,0.123247452844223
"root1",8,"b6",6.39988792158742e-05,0.0335525209159503,0.123247452844223
"root1",8,"b7",0.00011087358677759,0.0335525209159503,0.123247452844223
"root1",8,"b8",3.90101420583338e-05,0.0335525209159503,0.123247452844223
"root1",8,"b9",6.8119956926298e-05,6.8119956926298e-05,0.123247452844223
"root1",9,"b0",0.000133048275932462,0.0722097472142885,0.147668276203098
"root1",9,"b1",7.4427056740665e-05,0.0722097472142885,0.147668276203098
"root1",9,"b2",4.16980641897675e-05,0.0722097472142885,0.147668276203098
"root1",9,"b3",4.16980641897675e-05,0.0722097472142885,0.147668276203098
"root1",9,"b4",3.95990960055133e-05,0.0722097472142885,0.147668276203098
"root1",9,"b5",6.79823229316031e-05,0.0722097472142885,0.147668276203098
"root1",9,"b6",5.58456939627707e-05,0.0722097472142885,0.147668276203098
"root1",9,"b7",8.86228131454379e-05,0.0722097472142885,0.147668276203098
"root1",9,"b8",3.51541251135954e-05,0.0722097472142885,0.147668276203098
"root1",9,"b9",5.88462040894104e-05,5.88462040894104e-05,0.147668276203098
"root10",0,"b0",4.32847690016415e-05,0.0141347576670105,0.117422265955701
"root10",0,"b1",7.67677004248692e-05,0.0141347576670105,0.117422265955701
"root10",0,"b2",3.79871448484174e-05,0.0141347576670105,0.117422265955701
"root10",0,"b3",3.79871448484174e-05,0.0141347576670105,0.117422265955701
"root10",0,"b4",3.61991962604336e-05,0.0141347576670105,0.117422265955701
"root10",0,"b5",6.97927899358197e-05,0.0141347576670105,0.117422265955701
"root10",0,"b6",5.68361181670281e-05,0.0141347576670105,0.117422265955701
"root10",0,"b7",0.000106742646760039,0.0141347576670105,0.117422265955701
"root10",0,"b8",3.23737388590961e-05,0.0141347576670105,0.117422265955701
"root10",0,"b9",6.00775124739068e-05,6.00775124739068e-05,0.117422265955701
"root10",10,"b0",0.000115552757715986,0.222513374203588,0.135913399025866
"root10",10,"b1",7.62464072165395e-05,0.222513374203588,0.135913399025866
"root10",10,"b2",3.83577892248634e-05,0.222513374203588,0.135913399025866
"root10",10,"b3",3.83577892248634e-05,0.222513374203588,0.135913399025866
"root10",10,"b4",3.67753410528881e-05,0.222513374203588,0.135913399025866
"root10",10,"b5",7.02295642449988e-05,0.222513374203588,0.135913399025866
"root10",10,"b6",5.75136193494613e-05,0.222513374203588,0.135913399025866
"root10",10,"b7",0.000104303492901934,0.222513374203588,0.135913399025866
"root10",10,"b8",3.29632509000654e-05,0.222513374203588,0.135913399025866
"root10",10,"b9",6.04251749353544e-05,6.04251749353544e-05,0.135913399025866
"root10",11,"b0",0.000129930012377345,0.0228452932323142,0.127474305001559
"root10",11,"b1",7.13491185363882e-05,0.0228452932323142,0.127474305001559
"root10",11,"b2",3.9783600965113e-05,0.0228452932323142,0.127474305001559
"root10",11,"b3",3.9783600965113e-05,0.0228452932323142,0.127474305001559
"root10",11,"b4",3.77731821062046e-05,0.0228452932323142,0.127474305001559
"root10",11,"b5",6.51250448392718e-05,0.0228452932323142,0.127474305001559
"root10",11,"b6",5.37463924251062e-05,0.0228452932323142,0.127474305001559
"root10",11,"b7",8.55787181690987e-05,0.0228452932323142,0.127474305001559
"root10",11,"b8",3.36444686493792e-05,0.0228452932323142,0.127474305001559
"root10",11,"b9",5.65520244588309e-05,5.65520244588309e-05,0.127474305001559
"root10",12,"b0",0.000125279826278411,0.112249648792697,0.130175541548748
"root10",12,"b1",7.6438511130955e-05,0.112249648792697,0.130175541548748
"root10",12,"b2",4.02946672954068e-05,0.112249648792697,0.130175541548748
"root10",12,"b3",4.02946672954068e-05,0.112249648792697,0.130175541548748
"root10",12,"b4",3.8399445023441e-05,0.112249648792697,0.130175541548748
"root10",12,"b5",6.98908444421323e-05,0.112249648792697,0.130175541548748
"root10",12,"b6",5.70392556606358e-05,0.112249648792697,0.130175541548748
"root10",12,"b7",9.77950229628418e-05,0.112249648792697,0.130175541548748
"root10",12,"b8",3.41710142122144e-05,0.112249648792697,0.130175541548748
"root10",12,"b9",6.01751399968841e-05,6.01751399968841e-05,0.130175541548748
"root10",13,"b0",0.000125883688207286,0.171681615782914,0.149549082995171
"root10",13,"b1",6.85938193946498e-05,0.171681615782914,0.149549082995171
"root10",13,"b2",3.72629091664891e-05,0.171681615782914,0.149549082995171
"root10",13,"b3",3.72629091664891e-05,0.171681615782914,0.149549082995171
"root10",13,"b4",3.58127122200507e-05,0.171681615782914,0.149549082995171
"root10",13,"b5",6.38274512549431e-05,0.171681615782914,0.149549082995171
"root10",13,"b6",5.31132525854684e-05,0.171681615782914,0.149549082995171
"root10",13,"b7",8.94053228105138e-05,0.171681615782914,0.149549082995171
"root10",13,"b8",3.21752964946382e-05,0.171681615782914,0.149549082995171
"root10",13,"b9",5.57359669058655e-05,5.57359669058655e-05,0.149549082995171
"root10",14,"b0",0.000175516417764374,0.559914114188618,0.132032597033818
"root10",14,"b1",0.000100571217607241,0.559914114188618,0.132032597033818
"root10",14,"b2",4.96925592072669e-05,0.559914114188618,0.132032597033818
"root10",14,"b3",4.96925592072669e-05,0.559914114188618,0.132032597033818
"root10",14,"b4",4.63202286747239e-05,0.559914114188618,0.132032597033818
"root10",14,"b5",8.76416960572442e-05,0.559914114188618,0.132032597033818
