"name","type","value","CS_id","age"
"xylem","max_size",0.0567532321122866,"B05_E2_To_C01_Z20_01",16.38
"phloem","order",1.5,"B05_E2_To_C01_Z20_01",16.38
"endodermis","cell_diameter",0.0134849,"B05_E2_To_C01_Z20_01",16.38
"epidermis","order",6,"B05_E2_To_C01_Z20_01",16.38
"xylem","n_cells",7,"B05_E2_To_C01_Z20_01",16.38
"stele","layer_diameter",0.15592,"B05_E2_To_C01_Z20_01",16.38
"phloem","cell_diameter",0.00962419955539126,"B05_E2_To_C01_Z20_01",16.38
"exodermis","order",5,"B05_E2_To_C01_Z20_01",16.38
"endodermis","order",3,"B05_E2_To_C01_Z20_01",16.38
"xylem","cell_diameter",0.0282391689410839,"B05_E2_To_C01_Z20_01",16.38
"aerenchyma","n_files",10,"B05_E2_To_C01_Z20_01",16.38
"secondarygrowth","param",1,"B05_E2_To_C01_Z20_01",16.38
"epidermis","n_layers",1,"B05_E2_To_C01_Z20_01",16.38
"phloem","proportion",0.153925089789636,"B05_E2_To_C01_Z20_01",16.38
"pericycle","n_layers",1,"B05_E2_To_C01_Z20_01",16.38
"epidermis","cell_diameter",0.0139747272727273,"B05_E2_To_C01_Z20_01",16.38
"randomness","param",2,"B05_E2_To_C01_Z20_01",16.38
"endodermis","n_layers",1,"B05_E2_To_C01_Z20_01",16.38
"pericycle","cell_diameter",0.011681,"B05_E2_To_C01_Z20_01",16.38
"cortex","n_layers",3,"B05_E2_To_C01_Z20_01",16.38
"stele","n_layers",6,"B05_E2_To_C01_Z20_01",16.38
"aerenchyma","proportion",0,"B11_C_To_C01_Z20_01",2.98
"epidermis","order",6,"B11_C_To_C01_Z20_01",2.98
"exodermis","n_layers",1,"B11_C_To_C01_Z20_01",2.98
"stele","cell_diameter",0.00701245167848517,"B11_C_To_C01_Z20_01",2.98
"randomness","param",2,"B11_C_To_C01_Z20_01",2.98
"planttype","param",2,"B11_C_To_C01_Z20_01",2.98
"secondarygrowth","param",0,"B11_C_To_C01_Z20_01",2.98
"xylem","max_size",0.0204951058851961,"B11_C_To_C01_Z20_01",2.98
"epidermis","n_layers",1,"B11_C_To_C01_Z20_01",2.98
"stele","order",1,"B11_C_To_C01_Z20_01",2.98
"xylem","order",1.5,"B11_C_To_C01_Z20_01",2.98
"xylem","n_files",2,"B11_C_To_C01_Z20_01",2.98
"epidermis","cell_diameter",0.013643,"B11_C_To_C01_Z20_01",2.98
"phloem","order",1.5,"B11_C_To_C01_Z20_01",2.98
"cortex","cell_diameter",0.019715,"B11_C_To_C01_Z20_01",2.98
"cortex","n_layers",3,"B11_C_To_C01_Z20_01",2.98
"endodermis","cell_diameter",0.0139338947368421,"B11_C_To_C01_Z20_01",2.98
"cortex","order",4,"B11_C_To_C01_Z20_01",2.98
"phloem","cell_diameter",0.00701255508832611,"B11_C_To_C01_Z20_01",2.98
"exodermis","cell_diameter",0.024779,"B11_C_To_C01_Z20_01",2.98
"xylem","n_cells",4,"B11_C_To_C01_Z20_01",2.98
"xylem","cell_diameter",0.0165076704505096,"B11_C_To_C01_Z20_01",2.98
"pericycle","cell_diameter",0.0108835714285714,"B11_C_To_C01_Z20_01",2.98
"exodermis","order",5,"B11_C_To_C01_Z20_01",2.98
"stele","layer_diameter",0.1078,"B11_C_To_C01_Z20_01",2.98
"phloem","proportion",0,"B11_C_To_C01_Z20_01",2.98
"endodermis","n_layers",1,"B11_C_To_C01_Z20_01",2.98
"endodermis","order",3,"B11_C_To_C01_Z20_01",2.98
"aerenchyma","n_files",10,"B11_C_To_C01_Z20_01",2.98
"pericycle","n_layers",1,"B11_C_To_C01_Z20_01",2.98
"phloem","n_layers",0,"B11_C_To_C01_Z20_01",2.98
"stele","n_layers",5,"B11_C_To_C01_Z20_01",2.98
"stele","SD",0.000931817414500338,"B11_C_To_C01_Z20_01",2.98
"pericycle","order",2,"B11_C_To_C01_Z20_01",2.98
