"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","X","RSA_id","kr","Kx","SUF","RSHA_id","age"
72,73,0,0.2297,-0.2924,-12.7668,0.2288,-0.298,-12.8077,0.1887,0.0412914034636757,0.4314,0.3922,0.1961,8.4279,1,NA,"Tomato_60d_1",7.43856370445842e-05,0.0778570805985523,0.000373330879097252,"Tomato_60d_1_20_1B_60",20
73,74,0,0.2288,-0.298,-12.8077,0.2341,-0.3156,-13.0013,0.1887,0.194470589035977,0.4314,0.3922,0.1961,8.6089,1,NA,"Tomato_60d_1",7.4554610628068e-05,0.0759193898624246,0.00176053689196114,"Tomato_60d_1_20_1B_60",20
74,75,0,0.2341,-0.3156,-13.0013,0.2321,-0.2933,-13.2001,0.1887,0.200056816929592,0.4314,0.3922,0.1961,8.7957,1,NA,"Tomato_60d_1",7.4728998834669e-05,0.0739196073789514,0.00181235369702573,"Tomato_60d_1_20_1B_60",20
75,76,0,0.2321,-0.2933,-13.2001,0.2319,-0.2902,-13.2255,0.1887,0.0255892555577526,0.4314,0.3922,0.1961,8.8198,1,NA,"Tomato_60d_1",7.47514975272765e-05,0.073661605463257,0.000231670332938877,"Tomato_60d_1_20_1B_60",20
76,77,0,0.2319,-0.2902,-13.2255,0.2404,-0.3112,-13.4242,0.1887,0.199987349599919,0.4314,0.3922,0.1961,9.0073,1,NA,"Tomato_60d_1",7.49265392228744e-05,0.0716739140029155,0.00181309480280175,"Tomato_60d_1_20_1B_60",20
77,78,0,0.2404,-0.3112,-13.4242,0.236,-0.3193,-13.5533,0.1887,0.129428667612704,0.4314,0.3922,0.1961,9.1291,1,NA,"Tomato_60d_1",7.50402463083348e-05,0.0705391671174129,0.00117357739484636,"Tomato_60d_1_20_1B_60",20
78,79,0,0.236,-0.3193,-13.5533,0.2402,-0.3272,-13.7531,0.1887,0.200000224999873,0.4314,0.3922,0.1961,9.3178,1,NA,"Tomato_60d_1",7.52164082707845e-05,0.0687811479278041,0.00181524399714129,"Tomato_60d_1_20_1B_60",20
79,80,0,0.2402,-0.3272,-13.7531,0.2415,-0.328,-13.7758,0.1887,0.0227512637011665,0.4314,0.3922,0.1961,9.3393,1,NA,"Tomato_60d_1",7.52364797185464e-05,0.0685808436746161,0.000206360377820978,"Tomato_60d_1_20_1B_60",20
80,81,0,0.2415,-0.328,-13.7758,0.2501,-0.3365,-13.9754,0.1887,0.199965922096741,0.4314,0.3922,0.1961,9.5288,1,NA,"Tomato_60d_1",7.5413388525564e-05,0.0668153713034934,0.00181633263501717,"Tomato_60d_1_20_1B_60",20
81,82,0,0.2501,-0.3365,-13.9754,0.2516,-0.3379,-14.0088,0.1887,0.0334629646026771,0.4314,0.3922,0.1961,9.5606,1,NA,"Tomato_60d_1",7.54430755971374e-05,0.0665191073383129,0.000303779222473622,"Tomato_60d_1_20_1B_60",20
