"Barrier","kr","kx","perimeter","CS_id","kAQP","kpl","Simu_ID","kw_lignin","Kr","Barrier_Name"
"b6",7.90316487193225e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,9.77519235202009e-08,"En.CS-Ex.Sub"
"b9",9.72745328625743e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,1.20316010749258e-07,"En.CS-Ex.LC"
"b1",1.35656818456017e-07,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,1.6778993172471e-07,"En.CS"
"b6",8.94302629473287e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,1.10613663838211e-07,"En.CS-Ex.Sub"
"b9",9.73100133247941e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,1.20359895490189e-07,"En.CS-Ex.LC"
"b1",1.3925460029091e-07,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.72239922335633e-07,"En.CS"
"b6",9.43330230867148e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.1667774375998e-07,"En.CS-Ex.Sub"
"b9",1.266517985519e-07,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.56651887267465e-07,"En.CS-Ex.LC"
"b1",6.86093097135543e-08,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,8.44502183378549e-08,"En.CS"
"b6",4.97725211528179e-08,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,6.12642846303201e-08,"En.CS-Ex.Sub"
"b9",5.16358550060273e-08,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,6.35578356279445e-08,"En.CS-Ex.LC"
"b1",7.81384542883639e-08,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,9.61795061455221e-08,"En.CS"
"b6",5.71887537252367e-08,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,7.03928192650498e-08,"En.CS-Ex.Sub"
"b9",6.41936673208121e-08,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,7.90150672522976e-08,"En.CS-Ex.LC"
"b1",1.0649731646915e-07,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,1.31086024123612e-07,"En.CS"
"b6",7.43356988748045e-08,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,9.14987488794698e-08,"En.CS-Ex.Sub"
"b9",7.90974920238721e-08,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,9.73599719816608e-08,"En.CS-Ex.LC"
"b1",1.11926776572678e-07,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,1.37769068933623e-07,"En.CS"
"b6",7.98821669221589e-08,4.33469419896506e-10,1.23088570181564,"B05_E2_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,9.83258170945357e-08,"En.CS-Ex.Sub"
