"Barrier","kr","kx","perimeter","CS_id","kAQP","kpl","Simu_ID","Kr","Barrier_Name"
"b3",4.9725765882612e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",6e-04,6.13425925925926e-19,"6e-04_5.3e-12",5.09977881742161e-08,"En.Sub"
"b4",4.74119140775073e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",6e-04,6.13425925925926e-19,"6e-04_5.3e-12",4.86247463089218e-08,"En.Sub-Ex.CS"
"b5",1.05490876334246e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",6e-04,6.13425925925926e-19,"6e-04_5.3e-12",1.08189411869622e-07,"En.CS-Ex.CS"
"b6",7.97386553744218e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",6e-04,6.13425925925926e-19,"6e-04_5.3e-12",8.17784298321594e-08,"En.CS-Ex.Sub"
"b7",1.62067679009659e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",6e-04,6.13425925925926e-19,"6e-04_5.3e-12",1.66213491483126e-07,"Ex.CS"
"b8",4.14044355651537e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",6e-04,6.13425925925926e-19,"6e-04_5.3e-12",4.24635920019694e-08,"En.Sub-Ex.Sub"
"b9",8.59027558501638e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",6e-04,6.13425925925926e-19,"6e-04_5.3e-12",8.81002126094941e-08,"En.CS-Ex.LC"
"b0",7.430178716489e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",7e-04,6.13425925925926e-19,"7e-04_5.3e-12",7.62024824664541e-08,NA
"b1",1.25207825763403e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",7e-04,6.13425925925926e-19,"7e-04_5.3e-12",1.28410735615618e-07,"En.CS"
"b2",5.03647224409451e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",7e-04,6.13425925925926e-19,"7e-04_5.3e-12",5.16530897193209e-08,"En.Sub*"
"b3",5.03647224409451e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",7e-04,6.13425925925926e-19,"7e-04_5.3e-12",5.16530897193209e-08,"En.Sub"
"b4",4.82779150472893e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",7e-04,6.13425925925926e-19,"7e-04_5.3e-12",4.95129002313745e-08,"En.Sub-Ex.CS"
"b5",1.13039319194415e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",7e-04,6.13425925925926e-19,"7e-04_5.3e-12",1.15930949545217e-07,"En.CS-Ex.CS"
"b6",8.3442612510414e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",7e-04,6.13425925925926e-19,"7e-04_5.3e-12",8.55771369626565e-08,"En.CS-Ex.Sub"
"b7",1.68454474444833e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",7e-04,6.13425925925926e-19,"7e-04_5.3e-12",1.72763665923555e-07,"Ex.CS"
"b8",4.19284320392608e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",7e-04,6.13425925925926e-19,"7e-04_5.3e-12",4.3000992697891e-08,"En.Sub-Ex.Sub"
"b9",9.04275515645465e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",7e-04,6.13425925925926e-19,"7e-04_5.3e-12",9.27407559832942e-08,"En.CS-Ex.LC"
"b0",7.93235077973861e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12",8.13526624695272e-08,NA
"b1",1.32205903969321e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12",1.35587829897373e-07,"En.CS"
"b2",5.09041084582596e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12",5.22062736344782e-08,"En.Sub*"
"b3",5.09041084582596e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12",5.22062736344782e-08,"En.Sub"
"b4",4.9007285858364e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12",5.02609288934459e-08,"En.Sub-Ex.CS"
"b5",1.2010896243409e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12",1.23181439547831e-07,"En.CS-Ex.CS"
"b6",8.67251470374191e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12",8.89436411785582e-08,"En.CS-Ex.Sub"
"b7",1.74397005934509e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12",1.78858211814402e-07,"Ex.CS"
"b8",4.23566497547895e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12",4.34401645429367e-08,"En.Sub-Ex.Sub"
"b9",9.45087196419327e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12",9.69263233932613e-08,"En.CS-Ex.LC"
"b0",8.41062812236837e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",9e-04,6.13425925925926e-19,"9e-04_5.3e-12",8.62577828181087e-08,NA
"b1",1.38791768565893e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",9e-04,6.13425925925926e-19,"9e-04_5.3e-12",1.42342165837274e-07,"En.CS"
"b2",5.13707977552805e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",9e-04,6.13425925925926e-19,"9e-04_5.3e-12",5.26849011928516e-08,"En.Sub*"
"b3",5.13707977552805e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",9e-04,6.13425925925926e-19,"9e-04_5.3e-12",5.26849011928516e-08,"En.Sub"
"b4",4.96352965824586e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",9e-04,6.13425925925926e-19,"9e-04_5.3e-12",5.09050046016837e-08,"En.Sub-Ex.CS"
"b5",1.26788979051778e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",9e-04,6.13425925925926e-19,"9e-04_5.3e-12",1.30032335987985e-07,"En.CS-Ex.CS"
"b6",8.96731004709707e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",9e-04,6.13425925925926e-19,"9e-04_5.3e-12",9.19670054663326e-08,"En.CS-Ex.Sub"
"b7",1.800015105649e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",9e-04,6.13425925925926e-19,"9e-04_5.3e-12",1.84606083866023e-07,"Ex.CS"
"b8",4.2715985008837e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",9e-04,6.13425925925926e-19,"9e-04_5.3e-12",4.3808691861605e-08,"En.Sub-Ex.Sub"
"b9",9.82342751467982e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",9e-04,6.13425925925926e-19,"9e-04_5.3e-12",1.00747181395065e-07,"En.CS-Ex.LC"
"b0",1.19979957196788e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",1.1380460918063e-07,NA
"b1",1.59489363136727e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",1.51280472708226e-07,"En.CS"
"b2",5.55438738043623e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",5.26850400547809e-08,"En.Sub*"
"b3",5.55438738043623e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",5.26850400547809e-08,"En.Sub"
"b4",5.35150194875966e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",5.07606105250616e-08,"En.Sub-Ex.CS"
"b5",1.43817344975511e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",1.36415090659593e-07,"En.CS-Ex.CS"
"b6",9.71124381267443e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",9.21140774326606e-08,"En.CS-Ex.Sub"
"b7",2.05265654656696e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",1.94700666279591e-07,"Ex.CS"
"b8",4.5394832028563e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",4.30583677351841e-08,"En.Sub-Ex.Sub"
"b9",1.07539812838943e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",1.020047569397e-07,"En.CS-Ex.LC"
"b0",4.61077152624131e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",4.37345589900841e-08,NA
"b1",6.7852717381611e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",6.43603495439878e-08,"En.CS"
