"","root","x","y","Barrier","Kr","Kx","perimeter","Kr2","param_id"
"38838","root28",1,202.1396,"b5",4.26055662643317e-05,0.0101997023053052,0.125041851522601,4.93119979911246e-08,"xylem_mean_size"
"38839","root20",30,1289.0949,"b1",9.52702072678182e-05,2.4830412899199,0.199602116796334,1.10266443597012e-07,"xylem_mean_size"
"38840","root3",13,590.8746,"b4",4.89676265737974e-05,0.0564127743027886,0.0990797494697526,5.66754937196729e-08,"xylem_mean_size"
"38841","root8",27,1574.6167,"b6",7.54680946822726e-05,2.42796065384791,0.143468552367771,8.73473318081859e-08,"xylem_mean_size"
"38842","root23",26,2099.2454,"b6",5.95704841463094e-05,2.16553820492773,0.186213195360888,6.8947319613784e-08,"xylem_mean_size"
"38843","root1",23,1254.5145,"b1",9.96601238454114e-05,0.568147776866557,0.129333318488223,1.15347365561819e-07,"xylem_mean_size"
"38844","root18",16,557.515,"b1",0.000109408973522244,0.331268897787139,0.145125879655137,1.26630756391486e-07,"xylem_mean_size"
"38845","root15",9,439.522,"b5",7.06297286582796e-05,0.133977913706101,0.140794019291031,8.17473711322681e-08,"xylem_mean_size"
"38846","root19",22,1266.7337,"b5",6.76351140176889e-05,1.05483912163633,0.168488035423213,7.82813819649177e-08,"xylem_mean_size"
"38847","root8",5,253.4494,"b6",6.02466718965791e-05,0.261406266080593,0.142323541005197,6.97299443247443e-08,"xylem_mean_size"
"38848","root1",13,333.0049,"b1",7.61221110253759e-05,0.132553819766498,0.149183359052664,8.81042951682591e-08,"xylem_mean_size"
"38849","root30",26,1457.7234,"b6",5.78037231239671e-05,1.41445909210289,0.192020870424121,6.69024573194064e-08,"xylem_mean_size"
"38850","root4",15,662.6098,"b6",6.3670115477366e-05,0.26910859782908,0.142186284072911,7.36922632839884e-08,"xylem_mean_size"
"38851","root6",27,1459.8979,"b5",7.38656514310535e-05,1.04908053409896,0.192431566465858,8.54926521192749e-08,"xylem_mean_size"
"38852","root14",26,2142.7588,"b4",4.62330125548104e-05,1.42079051818964,0.215913565421771,5.35104311976972e-08,"xylem_mean_size"
"38853","root9",9,287.7038,"b4",3.1766451866747e-05,0.112861184548943,0.181857578043215,3.67667266976238e-08,"xylem_mean_size"
"38854","root21",21,953.8638,"b4",3.3280432654362e-05,0.382186174751151,0.225280210732948,3.85190192758819e-08,"xylem_mean_size"
"38855","root26",15,494.94,"b4",3.77305175683914e-05,0.203627729665897,0.149593964539988,4.36695805189715e-08,"xylem_mean_size"
"38856","root3",30,1559.6616,"b4",5.19733675424672e-05,3.85898144418912,0.176492011522585,6.01543605815592e-08,"xylem_mean_size"
"38857","root8",23,1083.2958,"b5",9.29306769323562e-05,1.14836957590291,0.162609314616362,1.07558653856894e-07,"xylem_mean_size"
"38858","root9",30,1834.6846,"b4",8.74662198720832e-05,5.71683423157224,0.160697831414432,1.01234050777874e-07,"xylem_mean_size"
"38859","root29",26,1505.7417,"b4",4.67277951580641e-05,2.52906197688727,0.212742971399743,5.40830962477594e-08,"xylem_mean_size"
"38860","root16",2,192.9995,"b6",5.51853955296559e-05,0.0763767601463612,0.139367351528499,6.38719855667314e-08,"xylem_mean_size"
"38861","root9",14,391.1636,"b1",9.85893035652975e-05,0.267801106461792,0.10508304394115,1.14107990237613e-07,"xylem_mean_size"
"38862","root3",18,778.125,"b5",6.77086731598691e-05,0.208716305228046,0.150311060418192,7.83665198609596e-08,"xylem_mean_size"
"38863","root17",8,380.0774,"b4",4.17059836957731e-05,0.043517164811597,0.145072134877187,4.82708144627003e-08,"xylem_mean_size"
"38864","root10",8,415.4952,"b1",5.03157107096152e-05,0.0604847758378469,0.161810543762861,5.82357762842768e-08,"xylem_mean_size"
"38865","root19",4,274.0813,"b6",5.57633967650467e-05,0.0368698569704695,0.121669060201741,6.45409684780633e-08,"xylem_mean_size"
"38866","root16",13,477.2819,"b6",6.67673741161305e-05,0.304005433588897,0.123427361701845,7.7277053375151e-08,"xylem_mean_size"
"38867","root18",26,866.6345,"b5",8.08645591031696e-05,1.74691780813607,0.239582058045928,9.35932397027426e-08,"xylem_mean_size"
"38868","root3",22,993.8733,"b6",5.51406139985272e-05,0.300048305003919,0.179837126822745,6.3820155090888e-08,"xylem_mean_size"
"38869","root25",22,796.6508,"b5",7.50181480376674e-05,0.670131155192342,0.186267186527807,8.68265602287817e-08,"xylem_mean_size"
"38870","root29",6,227.8487,"b5",5.56896309285194e-05,0.172432363792322,0.181718052139537,6.4455591352453e-08,"xylem_mean_size"
"38871","root9",9,287.7038,"b5",5.13866373389852e-05,0.112861184548943,0.181857578043215,5.94752746978995e-08,"xylem_mean_size"
"38872","root25",10,475.6047,"b5",0.000102967020852602,0.458146446295751,0.112953698315393,1.19174792653475e-07,"xylem_mean_size"
"38873","root28",23,746.9086,"b6",6.28399893483628e-05,2.40756090161468,0.255082119511744,7.27314691531977e-08,"xylem_mean_size"
"38874","root19",6,363.4894,"b1",7.7497570558608e-05,0.0654337446993128,0.130471479439469,8.96962622206111e-08,"xylem_mean_size"
"38875","root1",23,1254.5145,"b5",8.89828030818456e-05,0.568147776866557,0.129333318488223,1.02989355418803e-07,"xylem_mean_size"
"38876","root25",27,1600.3535,"b6",5.42364401664645e-05,0.890685931994545,0.197122169310378,6.27736576000747e-08,"xylem_mean_size"
"38877","root20",6,248.3388,"b4",4.2088254135061e-05,0.147534781825033,0.1493496309713,4.8713257100765e-08,"xylem_mean_size"
"38878","root25",19,867.6831,"b4",4.83155439850335e-05,0.638356206845109,0.170186807892572,5.59207685011962e-08,"xylem_mean_size"
"38879","root30",27,2189.8102,"b4",4.90904689093481e-05,5.50862764820885,0.267516645468933,5.68176723487825e-08,"xylem_mean_size"
"38880","root10",20,1018.1099,"b5",6.14674556523382e-05,0.470812730224553,0.191754138866408,7.11428884865025e-08,"xylem_mean_size"
"38881","root28",17,567.1282,"b4",3.81580646513946e-05,0.0999949445208522,0.136412699022329,4.41644266798549e-08,"xylem_mean_size"
"38882","root25",7,256.3566,"b4",3.74930092879545e-05,0.119903295693073,0.130149275046969,4.33946866758733e-08,"xylem_mean_size"
"38883","root4",17,401.1769,"b4",4.08375184932269e-05,0.232687063876743,0.136265104878729,4.72656464041978e-08,"xylem_mean_size"
"38884","root6",28,1505.8587,"b1",0.000151090066630255,4.3647986049154,0.150527823292512,1.74872762303536e-07,"xylem_mean_size"
"38885","root1",13,333.0049,"b5",7.02368314761885e-05,0.132553819766498,0.149183359052664,8.12926290233663e-08,"xylem_mean_size"
"38886","root25",22,796.6508,"b6",6.09196866440081e-05,0.670131155192342,0.186267186527807,7.05088965787131e-08,"xylem_mean_size"
"38887","root6",7,299.3772,"b1",5.4662081283889e-05,0.00264413397679092,0.137236786311363,6.32662977822789e-08,"xylem_mean_size"
"38888","root12",15,512.0737,"b4",3.88927787122753e-05,0.00320242900423602,0.118592833973235,4.50147901762446e-08,"xylem_mean_size"
"38889","root12",17,772.5889,"b1",7.39664598438842e-05,0.339294139317245,0.185358413186642,8.56093285230141e-08,"xylem_mean_size"
"38890","root15",23,914.3908,"b5",7.54783702297303e-05,0.974613072648204,0.205488144943445,8.73592248029286e-08,"xylem_mean_size"
"38891","root5",24,1563.4156,"b1",7.78665904321621e-05,1.53569136269953,0.220975242051722,9.01233685557432e-08,"xylem_mean_size"
"38892","root23",19,755.7633,"b1",7.37834148462528e-05,0.480929557669225,0.149734934001998,8.53974708868667e-08,"xylem_mean_size"
"38893","root25",14,627.8104,"b5",8.31703373726331e-05,0.112523222006588,0.139718112006433,9.62619645516587e-08,"xylem_mean_size"
"38894","root15",22,1385.4348,"b1",7.14345243542951e-05,0.528380905843913,0.163274338792001,8.2678847632286e-08,"xylem_mean_size"
"38895","root8",15,608.9829,"b4",3.89402326744923e-05,0.0517031557509973,0.171329647715276,4.50697137436253e-08,"xylem_mean_size"
"38896","root20",22,2031.5292,"b4",4.02260734396673e-05,1.86312938614829,0.181984847879992,4.65579553699853e-08,"xylem_mean_size"
"38897","root8",26,1660.0711,"b6",6.56940462289053e-05,1.36478327764861,0.172675746026063,7.60347757278997e-08,"xylem_mean_size"
"38898","root25",12,494.4657,"b1",8.0936379114021e-05,0.246927593977918,0.129413738032938,9.36763647153021e-08,"xylem_mean_size"
"38899","root4",19,893.6132,"b4",4.40406099124446e-05,0.489730365058668,0.166516542743744,5.09729281394035e-08,"xylem_mean_size"
"38900","root17",8,380.0774,"b6",5.55850942590974e-05,0.043517164811597,0.145072134877187,6.43345998369183e-08,"xylem_mean_size"
"38901","root25",23,1180.9998,"b1",7.64028287376112e-05,0.591961608034998,0.178896389631872,8.84291999277907e-08,"xylem_mean_size"
"38902","root3",23,1808.3866,"b4",3.9722105012725e-05,1.20194787192088,0.219565190159658,4.59746585795428e-08,"xylem_mean_size"
"38903","root12",26,1155.6224,"b6",6.76966227928559e-05,1.78105349950451,0.1833935868604,7.83525726769165e-08,"xylem_mean_size"
"38904","root26",23,1115.0337,"b6",6.78633176383913e-05,0.65475324953363,0.146156618474916,7.85455065259159e-08,"xylem_mean_size"
"38905","root19",11,385.3002,"b1",0.000139815695591485,0.0922455379360687,0.122838565768359,1.61823721749404e-07,"xylem_mean_size"
"38906","root8",28,1513.6525,"b5",0.000101768345088223,4.80809364371825,0.16372724427312,1.17787436444703e-07,"xylem_mean_size"
"38907","root4",17,401.1769,"b5",7.74793412604221e-05,0.232687063876743,0.136265104878729,8.96751634958589e-08,"xylem_mean_size"
"38908","root16",0,187.3739,"b4",3.72979906015406e-05,0.0595949569895198,0.148079220947393,4.3168970603635e-08,"xylem_mean_size"
"38909","root24",30,1919.9211,"b1",9.42818407845707e-05,6.29643057108748,0.231450479982167,1.09122500908068e-07,"xylem_mean_size"
"38910","root30",10,419.263,"b5",6.00585085492934e-05,0.269163039097985,0.13348711928596,6.95121626727933e-08,"xylem_mean_size"
"38911","root14",22,519.5569,"b1",8.38926394817472e-05,0.325484585484654,0.142548342907453,9.70979623631333e-08,"xylem_mean_size"
"38912","root5",26,2643.9214,"b1",8.11687386080217e-05,1.56785104001406,0.208876287417947,9.39452993148399e-08,"xylem_mean_size"
"38913","root9",5,171.2641,"b1",6.05908497894127e-05,0.0105598366281335,0.0988458320744704,7.01282983673758e-08,"xylem_mean_size"
"38914","root16",17,1005.7781,"b4",4.88314341936443e-05,0.617929538148062,0.149647582465216,5.65178636500513e-08,"xylem_mean_size"
"38915","root5",29,1250.5567,"b5",0.000158722229358741,3.74163339450991,0.140109654482926,1.83706283980024e-07,"xylem_mean_size"
"38916","root3",4,197.0281,"b1",6.12872689851718e-05,0.214088236614779,0.137981060779217,7.09343391032081e-08,"xylem_mean_size"
"38917","root19",23,868.6829,"b5",0.000103280791275192,0.889506905162978,0.134362521388283,1.19537952864806e-07,"xylem_mean_size"
"38918","root21",7,416.5709,"b4",2.90454942851579e-05,0.044093722295048,0.177896980799299,3.36174702374513e-08,"xylem_mean_size"
"38919","root3",14,485.4129,"b4",4.0765292575844e-05,0.0751885464517447,0.146992379401311,4.7182051592412e-08,"xylem_mean_size"
